x,y,z
-145,-51,-507
-145,-51,-507
-145,-51,-507
-145,-51,-507
-79,-37,-405
-79,-37,-405
-79,-37,-405
-79,-37,-405
-79,-37,-405
-11,-29,-267
-11,-29,-267
-11,-29,-267
-11,-29,-267
-11,-29,-123
45,-28,-123
45,-28,-123
45,-28,-123
45,-28,-123
45,-28,-123
82,-25,-15
82,-25,-15
82,-25,-15
82,-25,-15
82,-25,-15
96,-41,52
96,-41,52
96,-41,52
96,-41,52
96,-41,52
96,-69,74
103,-69,74
103,-69,74
103,-69,74
103,-69,74
103,-69,74
96,-104,64
96,-104,64
96,-104,64
96,-104,64
96,-104,64
92,-144,29
92,-144,29
92,-144,29
92,-144,29
92,-144,29
92,-186,-13
107,-186,-13
107,-186,-13
107,-186,-13
107,-186,-13
129,-207,-46
129,-207,-46
129,-207,-46
129,-207,-46
129,-207,-46
167,-199,-51
167,-199,-51
167,-199,-51
167,-199,-51
167,-199,-51
194,-187,-59
194,-187,-59
194,-187,-59
194,-187,-59
194,-187,-59
199,-172,-74
199,-172,-74
199,-172,-74
199,-172,-74
199,-172,-74
177,-152,-82
177,-152,-82
177,-152,-82
177,-152,-82
177,-152,-82
132,-109,-70
132,-109,-70
132,-109,-70
132,-109,-70
132,-109,-70
72,-67,-51
72,-67,-51
72,-67,-51
72,-67,-51
72,-67,-51
11,-40,-49
11,-40,-49
11,-40,-49
11,-40,-49
11,-40,-49
-24,-27,-65
-24,-27,-65
-24,-27,-65
-24,-27,-65
-24,-27,-65
-24,-27,-73
-24,-13,-73
-24,-13,-73
-24,-13,-73
-24,-13,-73
-24,-13,-64
9,10,-64
9,10,-64
9,10,-64
9,10,-64
9,10,-64
50,24,-73
50,24,-73
50,24,-73
50,24,-73
50,24,-73
50,24,-73
92,13,-82
92,13,-82
92,13,-82
92,13,-82
92,13,-82
115,3,-101
115,3,-101
115,3,-101
115,3,-101
115,3,-101
115,3,-101
105,-15,-131
105,-15,-131
105,-15,-131
105,-15,-131
105,-15,-131
69,-34,-158
69,-34,-158
69,-34,-158
69,-34,-158
69,-34,-158
28,-56,-171
28,-56,-171
28,-56,-171
28,-56,-171
28,-56,-171
3,-74,-170
3,-74,-170
3,-74,-170
3,-74,-170
3,-74,-170
5,-90,-155
5,-90,-155
5,-90,-155
5,-90,-155
5,-90,-155
5,-107,-129
31,-107,-129
31,-107,-129
31,-107,-129
31,-107,-129
73,-127,-85
73,-127,-85
73,-127,-85
73,-127,-85
73,-127,-85
73,-127,-40
121,-127,-40
121,-127,-40
121,-127,-40
121,-127,-40
121,-123,-3
161,-123,-3
161,-123,-3
161,-123,-3
161,-123,-3
161,-123,16
175,-126,16
175,-126,16
175,-126,16
175,-126,16
175,-126,16
172,-114,21
172,-114,21
172,-114,21
172,-114,21
172,-114,21
156,-98,22
156,-98,22
156,-98,22
156,-98,22
156,-98,22
130,-85,0
130,-85,0
130,-85,0
130,-85,0
130,-85,0
130,-85,-26
92,-80,-26
92,-80,-26
92,-80,-26
92,-80,-26
92,-80,-26
62,-68,-51
62,-68,-51
62,-68,-51
62,-68,-51
62,-68,-51
48,-51,-71
48,-51,-71
48,-51,-71
48,-51,-71
48,-51,-71
48,-41,-97
50,-41,-97
50,-41,-97
50,-41,-97
50,-41,-97
50,-41,-97
79,-41,-116
79,-41,-116
79,-41,-116
79,-41,-116
79,-41,-116
127,-37,-127
127,-37,-127
127,-37,-127
127,-37,-127
127,-37,-127
167,-29,-124
167,-29,-124
167,-29,-124
167,-29,-124
167,-29,-124
178,-13,-103
178,-13,-103
