timestamp,x,y,z
1096,14,174,-603
1097,27,94,-888
1098,27,94,-888
1099,27,94,-888
1100,27,94,-888
1101,27,94,-888
1102,76,121,-1076
1103,76,121,-1076
1104,76,121,-1076
1105,76,121,-1076
1106,76,121,-1076
1107,57,176,-1063
1108,57,176,-1063
1109,57,176,-1063
1110,57,176,-1063
1111,57,176,-1063
1112,19,233,-928
1113,19,233,-928
1114,19,233,-928
1115,19,233,-928
1116,19,233,-928
1117,6,294,-788
1118,6,294,-788
1119,6,294,-788
1120,6,294,-788
1121,6,294,-788
1122,-3,347,-696
1123,-3,347,-696
1124,-3,347,-696
1125,-3,347,-696
1126,-3,347,-696
1127,-3,389,-676
1128,-12,389,-676
1129,-12,389,-676
1130,-12,389,-676
1131,-12,389,-676
1132,-48,411,-751
1133,-48,411,-751
1134,-48,411,-751
1135,-48,411,-751
1136,-48,411,-751
1137,-52,490,-920
1138,-52,490,-920
1139,-52,490,-920
1140,-52,490,-920
1141,-52,490,-920
1142,-103,622,-1088
1143,-103,622,-1088
1144,-103,622,-1088
1145,-103,622,-1088
1146,-103,622,-1088
1147,-219,684,-1245
1148,-219,684,-1245
1149,-219,684,-1245
1150,-219,684,-1245
1151,-342,679,-1404
1152,-342,679,-1404
1153,-342,679,-1404
1154,-342,679,-1404
1155,-342,679,-1404
1156,-417,654,-1516
1157,-417,654,-1516
1158,-417,654,-1516
1159,-417,654,-1516
1160,-404,616,-1567
1161,-404,616,-1567
1162,-404,616,-1567
1163,-404,616,-1567
1164,-404,616,-1567
1165,-322,570,-1574
1166,-322,570,-1574
1167,-322,570,-1574
1168,-322,570,-1574
1169,-322,533,-1553
1170,-193,533,-1553
1171,-193,533,-1553
1172,-193,533,-1553
1173,-193,533,-1553
1174,-52,562,-1508
1175,-52,562,-1508
1176,-52,562,-1508
1177,-52,562,-1508
1178,-52,562,-1508
1179,49,610,-1440
1180,49,610,-1440
1181,49,610,-1440
1182,49,610,-1440
1183,49,610,-1382
1184,78,665,-1382
1185,78,665,-1382
1186,78,665,-1382
1187,78,665,-1382
1188,78,665,-1330
1189,27,713,-1330
1190,27,713,-1330
1191,27,713,-1330
1192,27,713,-1330
1193,-78,773,-1281
1194,-78,773,-1281
1195,-78,773,-1281
1196,-78,773,-1281
1197,-78,773,-1281
1198,-179,851,-1282
1199,-179,851,-1282
1200,-179,851,-1282
1201,-179,851,-1282
1202,-179,851,-1282
1203,-251,916,-1332
1204,-251,916,-1332
1205,-251,916,-1332
1206,-251,916,-1332
1207,-281,925,-1391
1208,-281,925,-1391
1209,-281,925,-1391
1210,-281,925,-1391
1211,-281,925,-1391
1212,-255,910,-1448
1213,-255,910,-1448
1214,-255,910,-1448
1215,-255,910,-1448
1216,-166,898,-1463
1217,-166,898,-1463
1218,-166,898,-1463
1219,-166,898,-1463
1220,-166,898,-1463
1221,-80,883,-1431
1222,-80,883,-1431
1223,-80,883,-1431
1224,-80,883,-1431
1225,-80,883,-1378
1226,-58,877,-1378
1227,-58,877,-1378
1228,-58,877,-1378
1229,-58,877,-1378
1230,-89,888,-1351
1231,-89,888,-1351
1232,-89,888,-1351
1233,-89,888,-1351
1234,-89,888,-1351
1235,-225,902,-1321
1236,-225,902,-1321
1237,-225,902,-1321
1238,-225,902,-1321
1239,-225,902,-1299
1240,-368,933,-1299
1241,-368,933,-1299
1242,-368,933,-1299
1243,-368,933,-1299
1244,-435,985,-1204
1245,-435,985,-1204
1246,-435,985,-1204
1247,-435,985,-1204
1248,-435,985,-993
1249,-432,1041,-993
1250,-432,1041,-993
1251,-432,1041,-993
1252,-432,1041,-993
1253,-354,1046,-760
1254,-354,1046,-760
1255,-354,1046,-760
1256,-354,1046,-760
1257,-354,1046,-760
1258,-218,1011,-577
1259,-218,1011,-577
1260,-218,1011,-577
1261,-218,1011,-577
1262,-81,963,-457
1263,-81,963,-457
1264,-81,963,-457
1265,-81,963,-457
1266,-81,963,-457
1267,6,954,-411
1268,6,954,-411
1269,6,954,-411
1270,6,954,-411
1271,6,954,-411
1272,4,997,-433
1273,4,997,-433
1274,4,997,-433
1275,4,997,-433
1276,4,997,-433
1277,4,997,-433
1278,-48,1090,-473
1279,-48,1090,-473
1280,-48,1090,-473
1281,-48,1090,-473
1282,-48,1090,-475
1283,-113,1206,-475
1284,-113,1206,-475
1285,-113,1206,-475
1286,-113,1206,-475
1287,-182,1296,-435
1288,-182,1296,-435
1289,-182,1296,-435
1290,-182,1296,-435
1291,-182,1296,-435
1292,-224,1314,-347
1293,-224,1314,-347
1294,-224,1314,-347
1295,-224,1314,-347
1296,-218,1285,-263
1297,-218,1285,-263
1298,-218,1285,-263
1299,-218,1285,-263
1300,-218,1285,-263
1301,-188,1196,-250
1302,-188,1196,-250
1303,-188,1196,-250
1304,-188,1196,-250
1305,-150,1055,-357
1306,-150,1055,-357
1307,-150,1055,-357
1308,-150,1055,-357
1309,-150,1055,-357
1310,-135,880,-583
1311,-135,880,-583
1312,-135,880,-583
1313,-135,880,-583
1314,-135,624,-819
1315,-177,721,-819
1316,-177,721,-819
1317,-177,721,-819
1318,-177,721,-819
1319,-223,643,-955
1320,-223,643,-955
1321,-223,643,-955
1322,-223,643,-955
1323,-223,643,-955
1324,-248,705,-823
1325,-248,705,-823
1326,-248,705,-823
1327,-248,705,-823
1328,-248,705,-823
1329,-241,873,-437
1330,-241,873,-437
1331,-241,873,-437
1332,-241,873,-437
1333,-225,1015,37
1334,-225,1015,37
1335,-225,1015,37
1336,-225,1015,37
1337,-225,1015,37
1338,-153,1045,399
1339,-153,1045,399
1340,-153,1045,399
1341,-153,1045,399
1342,-153,1045,399
1343,-87,976,602
1344,-87,976,602
1345,-87,976,602
1346,-87,976,602
1347,-87,976,602
1348,-27,886,635
1349,-27,886,635
