t,x,y,z
1028,693,113,-273
1029,693,113,-273
1030,693,113,-273
1031,693,113,-273
1032,693,113,-273
1033,579,26,-330
1034,579,26,-330
1035,579,26,-330
1036,579,26,-330
1037,579,26,-330
1038,474,63,-360
1039,474,63,-360
1040,474,63,-360
1041,474,63,-360
1042,474,63,-360
1043,474,63,-386
1044,444,183,-386
1045,444,183,-386
1046,444,183,-386
1047,444,183,-386
1048,444,314,-365
1049,460,314,-365
1050,460,314,-365
1051,460,314,-365
1052,460,314,-365
1053,465,395,-265
1054,465,395,-265
1055,465,395,-265
1056,465,395,-265
1057,465,395,-265
1058,448,401,-126
1059,448,401,-126
1060,448,401,-126
1061,448,401,-126
1062,448,401,-126
1063,475,424,2
1064,475,424,2
1065,475,424,2
1066,475,424,2
1067,475,424,2
1068,475,424,2
1069,552,513,106
1070,552,513,106
1071,552,513,106
1072,552,513,106
1073,552,513,106
1074,591,594,197
1075,591,594,197
1076,591,594,197
1077,591,594,197
1078,591,594,197
1079,509,666,231
1080,509,666,231
1081,509,666,231
1082,509,666,231
1083,509,666,231
1084,396,732,172
1085,396,732,172
1086,396,732,172
1087,396,732,172
1088,396,732,172
1089,348,738,74
1090,348,738,74
1091,348,738,74
1092,348,738,74
1093,348,738,74
1094,348,624,22
1095,343,624,22
1096,343,624,22
1097,343,624,22
1098,343,624,22
1099,343,624,22
1100,303,412,10
1101,303,412,10
1102,303,412,10
1103,303,412,10
1104,303,412,10
1105,221,185,-10
1106,221,185,-10
1107,221,185,-10
1108,221,185,-10
1109,221,185,-10
1110,134,-12,-37
1111,134,-12,-37
1112,134,-12,-37
1113,134,-12,-37
1114,134,-12,-37
1115,44,-173,-44
1116,44,-173,-44
1117,44,-173,-44
1118,44,-173,-44
1119,44,-173,-44
1120,-2,-253,-47
1121,-2,-253,-47
1122,-2,-253,-47
1123,-2,-253,-47
1124,-2,-253,-47
1125,-2,-253,-33
1126,14,-247,-33
1127,14,-247,-33
1128,14,-247,-33
1129,14,-247,-33
1130,14,-247,-33
1131,-7,-185,30
1132,-7,-185,30
1133,-7,-185,30
1134,-7,-185,30
1135,-7,-185,30
1136,-72,-111,148
